Tempo: 0.00s    RTT: 1.82ms
Tempo: 10.00s   RTT: 2.68ms
Tempo: 20.01s   RTT: 1.62ms
Tempo: 30.01s   RTT: 5.11ms
Tempo: 40.01s   RTT: 1.74ms
Tempo: 50.02s   RTT: 1.39ms
Tempo: 60.02s   RTT: 5.16ms
Tempo: 70.22s   RTT: 204.24ms
Tempo: 81.26s   RTT: 1036.07ms
Tempo: 91.26s   RTT: 1.54ms
Tempo: 101.27s  RTT: 5.21ms
Tempo: 111.48s  RTT: 212.94ms
Tempo: 122.51s  RTT: 1024.05ms
Tempo: 132.71s  RTT: 205.14ms
Tempo: 144.75s  RTT: 2038.37ms
Tempo: 154.96s  RTT: 207.65ms
Tempo: 164.96s  RTT: 2.05ms
Tempo: 174.96s  RTT: 1.31ms
Tempo: 186.82s  RTT: 1864.24ms
Tempo: 201.74s  RTT: 4915.84ms
Tempo: 225.13s  RTT: 13389.16ms
Tempo: 238.39s  RTT: 3264.60ms
Tempo: 249.42s  RTT: 1022.05ms
Tempo: 279.11s  RTT: 19689.77ms
Tempo: 294.03s  RTT: 4918.53ms
Tempo: 307.51s  RTT: 3485.04ms
Tempo: 378.10s  RTT: 60584.30ms
